ID                 CATEGORY              CPU_CORES  MEMORY
is4gen.large       accelerated_computing 2          12
is4gen.medium      accelerated_computing 1          6
is4gen.xlarge      accelerated_computing 4          24
m1.large           accelerated_computing 2          7.5
m1.medium          general_purpose       1          3.69921875
m1.small           general_purpose       1          1.69921875
m1.xlarge          accelerated_computing 4          15
m2.2xlarge         accelerated_computing 4          34.19921875
m2.4xlarge         accelerated_computing 8          68.3994140625
m2.xlarge          accelerated_computing 2          17.099609375
m3.2xlarge         accelerated_computing 8          30
m3.large           accelerated_computing 2          7.5
m3.medium          general_purpose       1          3.75
m3.xlarge          accelerated_computing 4          15
m4.10xlarge        accelerated_computing 40         160
m4.16xlarge        accelerated_computing 64         256
m4.2xlarge         accelerated_computing 8          32
m4.4xlarge         accelerated_computing 16         64
m4.large           accelerated_computing 2          8
m4.xlarge          accelerated_computing 4          16
m5.12xlarge        accelerated_computing 48         192
m5.16xlarge        accelerated_computing 64         256
m5.24xlarge        accelerated_computing 96         384
m5.2xlarge         accelerated_computing 8          32
m5.4xlarge         accelerated_computing 16         64
m5.8xlarge         accelerated_computing 32         128
m5.large           accelerated_computing 2          8
m5.metal           general_purpose       96         384
m5.xlarge          accelerated_computing 4          16
m5a.12xlarge       accelerated_computing 48         192
m5a.16xlarge       accelerated_computing 64         256
m5a.24xlarge       accelerated_computing 96         384
m5a.2xlarge        accelerated_computing 8          32
m5a.4xlarge        accelerated_computing 16         64
m5a.8xlarge        accelerated_computing 32         128
m5a.large          accelerated_computing 2          8
m5a.xlarge         accelerated_computing 4          16
m5ad.12xlarge      accelerated_computing 48         192
m5ad.16xlarge      accelerated_computing 64         256
m5ad.24xlarge      accelerated_computing 96         384
m5ad.2xlarge       accelerated_computing 8          32
m5ad.4xlarge       accelerated_computing 16         64
m5ad.8xlarge       accelerated_computing 32         128
m5ad.large         accelerated_computing 2          8
m5ad.xlarge        accelerated_computing 4          16
m5d.12xlarge       accelerated_computing 48         192
m5d.16xlarge       accelerated_computing 64         256
m5d.24xlarge       accelerated_computing 96         384
m5d.2xlarge        accelerated_computing 8          32
m5d.4xlarge        accelerated_computing 16         64
m5d.8xlarge        accelerated_computing 32         128
m5d.large          accelerated_computing 2          8
m5d.metal          general_purpose       96         384
m5d.xlarge         accelerated_computing 4          16
m5dn.12xlarge      accelerated_computing 48         192
m5dn.16xlarge      accelerated_computing 64         256
m5dn.24xlarge      accelerated_computing 96         384
m5dn.2xlarge       accelerated_computing 8          32
m5dn.4xlarge       accelerated_computing 16         64
m5dn.8xlarge       accelerated_computing 32         128
m5dn.large         accelerated_computing 2          8
m5dn.metal         general_purpose       96         384
m5dn.xlarge        accelerated_computing 4          16
m5n.12xlarge       accelerated_computing 48         192
m5n.16xlarge       accelerated_computing 64         256
m5n.24xlarge       accelerated_computing 96         384
m5n.2xlarge        accelerated_computing 8          32
m5n.4xlarge        accelerated_computing 16         64
m5n.8xlarge        accelerated_computing 32         128
m5n.large          accelerated_computing 2          8
m5n.metal          general_purpose       96         384
m5n.xlarge         accelerated_computing 4          16
m5zn.12xlarge      accelerated_computing 48         192
m5zn.2xlarge       accelerated_computing 8          32
m5zn.3xlarge       accelerated_computing 12         48
m5zn.6xlarge       accelerated_computing 24         96
m5zn.large         accelerated_computing 2          8
m5zn.metal         general_purpose       48         192
m5zn.xlarge        accelerated_computing 4          16
m6a.12xlarge       accelerated_computing 48         192
m6a.16xlarge       accelerated_computing 64         256
m6a.24xlarge       accelerated_computing 96         384
m6a.2xlarge        accelerated_computing 8          32
m6a.32xlarge       accelerated_computing 128        512
m6a.48xlarge       accelerated_computing 192        768
m6a.4xlarge        accelerated_computing 16         64
m6a.8xlarge        accelerated_computing 32         128
m6a.large          accelerated_computing 2          8
m6a.metal          general_purpose       192        768
m6a.xlarge         accelerated_computing 4          16
m6g.12xlarge       accelerated_computing 48         192
m6g.16xlarge       accelerated_computing 64         256
m6g.2xlarge        accelerated_computing 8          32
m6g.4xlarge        accelerated_computing 16         64
m6g.8xlarge        accelerated_computing 32         128
m6g.large          accelerated_computing 2          8
m6g.medium         accelerated_computing 1          4
m6g.metal          accelerated_computing 64         256
m6g.xlarge         accelerated_computing 4          16
m6gd.12xlarge      accelerated_computing 48         192
m6gd.16xlarge      accelerated_computing 64         256
m6gd.2xlarge       accelerated_computing 8          32
m6gd.4xlarge       accelerated_computing 16         64
m6gd.8xlarge       accelerated_computing 32         128
m6gd.large         accelerated_computing 2          8
m6gd.medium        accelerated_computing 1          4
m6gd.metal         accelerated_computing 64         256
m6gd.xlarge        accelerated_computing 4          16
m6i.12xlarge       accelerated_computing 48         192
m6i.16xlarge       accelerated_computing 64         256
m6i.24xlarge       accelerated_computing 96         384
m6i.2xlarge        accelerated_computing 8          32
m6i.32xlarge       accelerated_computing 128        512
m6i.4xlarge        accelerated_computing 16         64
m6i.8xlarge        accelerated_computing 32         128
