ID                 CATEGORY               CPU_CORES  MEMORY
m5a.4xlarge        general_purpose        16         64.0 GiB
m5a.8xlarge        general_purpose        32         128.0 GiB
m5a.xlarge         general_purpose        4          16.0 GiB
m5d.metal          general_purpose        96         384.0 GiB
m5dn.metal         general_purpose        96         384.0 GiB
m5.metal           general_purpose        96         384.0 GiB
m5n.metal          general_purpose        96         384.0 GiB
m5.xlarge          general_purpose        4          16.0 GiB
m5zn.metal         general_purpose        48         192.0 GiB
m6a.12xlarge       general_purpose        48         192.0 GiB
m6a.16xlarge       general_purpose        64         256.0 GiB
m6a.24xlarge       general_purpose        96         384.0 GiB
m6a.2xlarge        general_purpose        8          32.0 GiB
m6a.32xlarge       general_purpose        128        512.0 GiB
m6a.48xlarge       general_purpose        192        768.0 GiB
m6a.4xlarge        general_purpose        16         64.0 GiB
m6a.8xlarge        general_purpose        32         128.0 GiB
m6a.metal          general_purpose        192        768.0 GiB
m6a.xlarge         general_purpose        4          16.0 GiB
m6g.12xlarge       general_purpose        48         192.0 GiB
m6g.16xlarge       general_purpose        64         256.0 GiB
m6g.2xlarge        general_purpose        8          32.0 GiB
m6g.4xlarge        general_purpose        16         64.0 GiB
m6g.8xlarge        general_purpose        32         128.0 GiB
m6gd.12xlarge      general_purpose        48         192.0 GiB
m6gd.16xlarge      general_purpose        64         256.0 GiB
m6gd.2xlarge       general_purpose        8          32.0 GiB
m6gd.4xlarge       general_purpose        16         64.0 GiB
m6gd.8xlarge       general_purpose        32         128.0 GiB
m6gd.metal         general_purpose        64         256.0 GiB
m6gd.xlarge        general_purpose        4          16.0 GiB
m6g.metal          general_purpose        64         256.0 GiB
m6g.xlarge         general_purpose        4          16.0 GiB
m6i.12xlarge       general_purpose        48         192.0 GiB
m6i.16xlarge       general_purpose        64         256.0 GiB
m6i.24xlarge       general_purpose        96         384.0 GiB
m6i.2xlarge        general_purpose        8          32.0 GiB
m6i.32xlarge       general_purpose        128        512.0 GiB
m6i.4xlarge        general_purpose        16         64.0 GiB
m6i.8xlarge        general_purpose        32         128.0 GiB
m6id.12xlarge      general_purpose        48         192.0 GiB
m6id.16xlarge      general_purpose        64         256.0 GiB
m6id.24xlarge      general_purpose        96         384.0 GiB
m6id.2xlarge       general_purpose        8          32.0 GiB
m6id.32xlarge      general_purpose        128        512.0 GiB
m6id.4xlarge       general_purpose        16         64.0 GiB
m6id.8xlarge       general_purpose        32         128.0 GiB
m6id.metal         general_purpose        128        512.0 GiB
m6idn.12xlarge     general_purpose        48         192.0 GiB
m6idn.16xlarge     general_purpose        64         256.0 GiB
m6idn.24xlarge     general_purpose        96         384.0 GiB
m6idn.2xlarge      general_purpose        8          32.0 GiB
m6idn.32xlarge     general_purpose        128        512.0 GiB
m6idn.4xlarge      general_purpose        16         64.0 GiB
m6idn.8xlarge      general_purpose        32         128.0 GiB
m6idn.xlarge       general_purpose        4          16.0 GiB
m6id.xlarge        general_purpose        4          16.0 GiB
m6i.metal          general_purpose        128        512.0 GiB
m6in.12xlarge      general_purpose        48         192.0 GiB
m6in.16xlarge      general_purpose        64         256.0 GiB
m6in.24xlarge      general_purpose        96         384.0 GiB
m6in.2xlarge       general_purpose        8          32.0 GiB
m6in.32xlarge      general_purpose        128        512.0 GiB
m6in.4xlarge       general_purpose        16         64.0 GiB
m6in.8xlarge       general_purpose        32         128.0 GiB
m6in.xlarge        general_purpose        4          16.0 GiB
m6i.xlarge         general_purpose        4          16.0 GiB
m7a.12xlarge       general_purpose        48         192.0 GiB
m7a.16xlarge       general_purpose        64         256.0 GiB
m7a.24xlarge       general_purpose        96         384.0 GiB
m7a.2xlarge        general_purpose        8          32.0 GiB
m7a.32xlarge       general_purpose        128        512.0 GiB
m7a.48xlarge       general_purpose        192        768.0 GiB
m7a.4xlarge        general_purpose        16         64.0 GiB
m7a.8xlarge        general_purpose        32         128.0 GiB
m7a.metal-48xl     general_purpose        192        768.0 GiB
m7a.xlarge         general_purpose        4          16.0 GiB
m7g.12xlarge       general_purpose        48         192.0 GiB
m7g.16xlarge       general_purpose        64         256.0 GiB
m7g.2xlarge        general_purpose        8          32.0 GiB
m7g.4xlarge        general_purpose        16         64.0 GiB
m7g.8xlarge        general_purpose        32         128.0 GiB
m7gd.12xlarge      general_purpose        48         192.0 GiB
m7gd.16xlarge      general_purpose        64         256.0 GiB
m7gd.2xlarge       general_purpose        8          32.0 GiB
m7gd.4xlarge       general_purpose        16         64.0 GiB
m7gd.8xlarge       general_purpose        32         128.0 GiB
m7gd.metal         general_purpose        64         256.0 GiB
m7gd.xlarge        general_purpose        4          16.0 GiB
m7g.metal          general_purpose        64         256.0 GiB
m7g.xlarge         general_purpose        4          16.0 GiB
m7i.12xlarge       general_purpose        48         192.0 GiB
m7i.16xlarge       general_purpose        64         256.0 GiB
m7i.24xlarge       general_purpose        96         384.0 GiB
m7i.2xlarge        general_purpose        8          32.0 GiB
m7i.48xlarge       general_purpose        192        768.0 GiB
m7i.4xlarge        general_purpose        16         64.0 GiB
m7i.8xlarge        general_purpose        32         128.0 GiB
m7i-flex.2xlarge   general_purpose        8          32.0 GiB
m7i-flex.4xlarge   general_purpose        16         64.0 GiB
m7i-flex.8xlarge   general_purpose        32         128.0 GiB
m7i-flex.xlarge    general_purpose        4          16.0 GiB
m7i.metal-24xl     general_purpose        96         384.0 GiB
m7i.metal-48xl     general_purpose        192        768.0 GiB
m7i.xlarge         general_purpose        4          16.0 GiB
r4.16xlarge        memory_optimized       64         488.0 GiB
r4.2xlarge         memory_optimized       8          61.0 GiB
r4.4xlarge         memory_optimized       16         122.0 GiB
r4.8xlarge         memory_optimized       32         244.0 GiB
r4.xlarge          memory_optimized       4          30.5 GiB
r5.12xlarge        memory_optimized       48         384.0 GiB
r5.16xlarge        memory_optimized       64         512.0 GiB
r5.24xlarge        memory_optimized       96         768.0 GiB
r5.2xlarge         memory_optimized       8          64.0 GiB
r5.4xlarge         memory_optimized       16         128.0 GiB
r5.8xlarge         memory_optimized       32         256.0 GiB
r5a.12xlarge       memory_optimized       48         384.0 GiB
r5a.16xlarge       memory_optimized       64         512.0 GiB
r5a.24xlarge       memory_optimized       96         768.0 GiB
r5a.2xlarge        memory_optimized       8          64.0 GiB
r5a.4xlarge        memory_optimized       16         128.0 GiB
r5a.8xlarge        memory_optimized       32         256.0 GiB
r5ad.12xlarge      memory_optimized       48         384.0 GiB
r5ad.16xlarge      memory_optimized       64         512.0 GiB
r5ad.24xlarge      memory_optimized       96         768.0 GiB
r5ad.2xlarge       memory_optimized       8          64.0 GiB
r5ad.4xlarge       memory_optimized       16         128.0 GiB
r5ad.8xlarge       memory_optimized       32         256.0 GiB
r5ad.xlarge        memory_optimized       4          32.0 GiB
r5a.xlarge         memory_optimized       4          32.0 GiB
r5b.12xlarge       memory_optimized       48         384.0 GiB
r5b.16xlarge       memory_optimized       64         512.0 GiB
r5b.24xlarge       memory_optimized       96         768.0 GiB
r5b.2xlarge        memory_optimized       8          64.0 GiB
r5b.4xlarge        memory_optimized       16         128.0 GiB
r5b.8xlarge        memory_optimized       32         256.0 GiB
r5b.metal          memory_optimized       96         768.0 GiB
r5b.xlarge         memory_optimized       4          32.0 GiB
r5d.12xlarge       memory_optimized       48         384.0 GiB
r5d.16xlarge       memory_optimized       64         512.0 GiB
r5d.24xlarge       memory_optimized       96         768.0 GiB
r5d.2xlarge        memory_optimized       8          64.0 GiB
r5d.4xlarge        memory_optimized       16         128.0 GiB
r5d.8xlarge        memory_optimized       32         256.0 GiB
r5d.metal          memory_optimized       96         768.0 GiB
r5dn.12xlarge      memory_optimized       48         384.0 GiB
r5dn.16xlarge      memory_optimized       64         512.0 GiB
r5dn.24xlarge      memory_optimized       96         768.0 GiB
r5dn.2xlarge       memory_optimized       8          64.0 GiB
r5dn.4xlarge       memory_optimized       16         128.0 GiB
r5dn.8xlarge       memory_optimized       32         256.0 GiB
r5dn.metal         memory_optimized       96         768.0 GiB
r5dn.xlarge        memory_optimized       4          32.0 GiB
r5d.xlarge         memory_optimized       4          32.0 GiB
r5.metal           memory_optimized       96         768.0 GiB
r5n.12xlarge       memory_optimized       48         384.0 GiB
r5n.16xlarge       memory_optimized       64         512.0 GiB
r5n.24xlarge       memory_optimized       96         768.0 GiB
r5n.2xlarge        memory_optimized       8          64.0 GiB
r5n.4xlarge        memory_optimized       16         128.0 GiB
r5n.8xlarge        memory_optimized       32         256.0 GiB
r5n.metal          memory_optimized       96         768.0 GiB
r5n.xlarge         memory_optimized       4          32.0 GiB
r5.xlarge          memory_optimized       4          32.0 GiB
r6a.12xlarge       memory_optimized       48         384.0 GiB
r6a.16xlarge       memory_optimized       64         512.0 GiB
r6a.24xlarge       memory_optimized       96         768.0 GiB
r6a.2xlarge        memory_optimized       8          64.0 GiB
r6a.32xlarge       memory_optimized       128        1.0 TiB
r6a.48xlarge       memory_optimized       192        1.5 TiB
r6a.4xlarge        memory_optimized       16         128.0 GiB
r6a.8xlarge        memory_optimized       32         256.0 GiB
r6a.xlarge         memory_optimized       4          32.0 GiB
r6g.12xlarge       memory_optimized       48         384.0 GiB
r6g.16xlarge       memory_optimized       64         512.0 GiB
r6g.2xlarge        memory_optimized       8          64.0 GiB
r6g.4xlarge        memory_optimized       16         128.0 GiB
r6g.8xlarge        memory_optimized       32         256.0 GiB
r6gd.12xlarge      memory_optimized       48         384.0 GiB
r6gd.16xlarge      memory_optimized       64         512.0 GiB
r6gd.2xlarge       memory_optimized       8          64.0 GiB
r6gd.4xlarge       memory_optimized       16         128.0 GiB
r6gd.8xlarge       memory_optimized       32         256.0 GiB
r6gd.metal         memory_optimized       64         512.0 GiB
r6gd.xlarge        memory_optimized       4          32.0 GiB
r6g.metal          memory_optimized       64         512.0 GiB
r6g.xlarge         memory_optimized       4          32.0 GiB
r6i.12xlarge       memory_optimized       48         384.0 GiB
r6i.16xlarge       memory_optimized       64         512.0 GiB
r6i.24xlarge       memory_optimized       96         768.0 GiB
r6i.2xlarge        memory_optimized       8          64.0 GiB
r6i.32xlarge       memory_optimized       128        1.0 TiB
r6i.4xlarge        memory_optimized       16         128.0 GiB
r6i.8xlarge        memory_optimized       32         256.0 GiB
r6id.12xlarge      memory_optimized       48         384.0 GiB
r6id.16xlarge      memory_optimized       64         512.0 GiB
r6id.24xlarge      memory_optimized       96         768.0 GiB
r6id.2xlarge       memory_optimized       8          64.0 GiB
r6id.32xlarge      memory_optimized       128        1.0 TiB
r6id.4xlarge       memory_optimized       16         128.0 GiB
r6id.8xlarge       memory_optimized       32         256.0 GiB
r6id.metal         memory_optimized       128        1.0 TiB
r6idn.12xlarge     memory_optimized       48         384.0 GiB
r6idn.16xlarge     memory_optimized       64         512.0 GiB
r6idn.24xlarge     memory_optimized       96         768.0 GiB
r6idn.2xlarge      memory_optimized       8          64.0 GiB
r6idn.32xlarge     memory_optimized       128        1.0 TiB
r6idn.4xlarge      memory_optimized       16         128.0 GiB
r6idn.8xlarge      memory_optimized       32         256.0 GiB
r6idn.xlarge       memory_optimized       4          32.0 GiB
r6id.xlarge        memory_optimized       4          32.0 GiB
r6i.metal          memory_optimized       128        1.0 TiB
r6in.12xlarge      memory_optimized       48         384.0 GiB
r6in.16xlarge      memory_optimized       64         512.0 GiB
r6in.24xlarge      memory_optimized       96         768.0 GiB
r6in.2xlarge       memory_optimized       8          64.0 GiB
r6in.32xlarge      memory_optimized       128        1.0 TiB
r6in.4xlarge       memory_optimized       16         128.0 GiB
r6in.8xlarge       memory_optimized       32         256.0 GiB
r6in.xlarge        memory_optimized       4          32.0 GiB
r6i.xlarge         memory_optimized       4          32.0 GiB
r7a.12xlarge       memory_optimized       48         384.0 GiB
r7a.16xlarge       memory_optimized       64         512.0 GiB
r7a.24xlarge       memory_optimized       96         768.0 GiB
r7a.2xlarge        memory_optimized       8          64.0 GiB
r7a.32xlarge       memory_optimized       128        1.0 TiB
r7a.48xlarge       memory_optimized       192        1.5 TiB
r7a.4xlarge        memory_optimized       16         128.0 GiB
r7a.8xlarge        memory_optimized       32         256.0 GiB
r7a.metal-48xl     memory_optimized       192        1.5 TiB
r7a.xlarge         memory_optimized       4          32.0 GiB
r7g.12xlarge       memory_optimized       48         384.0 GiB
r7g.16xlarge       memory_optimized       64         512.0 GiB
r7g.2xlarge        memory_optimized       8          64.0 GiB
r7g.4xlarge        memory_optimized       16         128.0 GiB
r7g.8xlarge        memory_optimized       32         256.0 GiB
r7gd.12xlarge      memory_optimized       48         384.0 GiB
r7gd.16xlarge      memory_optimized       64         512.0 GiB
r7gd.2xlarge       memory_optimized       8          64.0 GiB
r7gd.4xlarge       memory_optimized       16         128.0 GiB
r7gd.8xlarge       memory_optimized       32         256.0 GiB
r7gd.metal         memory_optimized       64         512.0 GiB
r7gd.xlarge        memory_optimized       4          32.0 GiB
r7g.metal          memory_optimized       64         512.0 GiB
r7g.xlarge         memory_optimized       4          32.0 GiB
r7i.12xlarge       memory_optimized       48         384.0 GiB
r7i.16xlarge       memory_optimized       64         512.0 GiB
r7i.24xlarge       memory_optimized       96         768.0 GiB
r7i.2xlarge        memory_optimized       8          64.0 GiB
r7i.4xlarge        memory_optimized       16         128.0 GiB
